HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","1","Fish of the families Bregmacerotidae, Euclichthyidae Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302.91 to 0302.99:","","","","","",""
"0302.51.00","2","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","","Free","","2.2¢/kg","",""
"0302.51.00.10","3","Atlantic","[""kg""]","","","","",""
"0302.51.00.90","3","Other","[""kg""]","","","","",""
"0302.52.00.00","2","Haddock (Melanogrammus aeglefinus)","[""kg""]","Free","","2.2¢/kg","",""
"0302.53.00.00","2","Coalfish (Pollachius virens)","[""kg""]","Free","","2.2¢/kg","",""
"0302.54","2","Hake (Merluccius spp., Urophycis spp.):","","","","","",""
"0302.54.11.00","3","Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0302.54.50.00","3","Other","[""kg""]","Free","","2.2¢/kg","",""
"0302.55","2","Alaska pollock (Theragra chalcogramma):","","","","","",""
"0302.55.11.00","3","Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0302.55.50.00","3","Other","[""kg""]","Free","","2.2¢/kg","",""
"0302.56","2","Blue whitings (Micromesistius poutassou, Micromesistius australis):","","","","","",""
"0302.56.11.00","3","Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0302.56.50.00","3","Other","[""kg""]","Free","","2.2¢/kg","",""
"0302.59","2","Other:","","","","","",""
"0302.59.11.00","3","Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0302.59.50","3","Other","","Free","","2.2¢/kg","",""
"0302.59.50.10","4","Pollock","[""kg""]","","","","",""
"0302.59.50.90","4","Other","[""kg""]","","","","",""
"","1","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0302.91 to 0302.99:","","","","","",""
"0302.71","2","Tilapias (Oreochromis spp.):","","","","","",""
"0302.71.11.00","3","Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0302.71.50.00","3","Other","[""kg""]","Free","","2.2¢/kg","",""
"0302.72","2","Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.):","","","","","",""
"0302.72.11.00","3","Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0302.72.50","3","Other","","Free","","2.2¢/kg","",""
"0302.72.50.01","4","Ictalurus spp.","[""kg""]","","","","",""
"0302.72.50.04","4","Pangasius spp. including basa and tra","[""kg""]","","","","",""
"0302.72.50.34","4","Other","[""kg""]","","","","",""
"0302.73","2","Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.):","","","","","",""
"0302.73.11.00","3","Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0302.73.50.00","3","Other","[""kg""]","Free","","2.2¢/kg","",""
"0302.74.00.00","2","Eels (Anguilla spp.)","[""kg""]","Free","","2.2¢/kg","",""
"0302.79","2","Other:","","","","","",""
"0302.79.11.00","3","Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0302.79.50","3","Other","","Free","","2.2¢/kg","",""
"0302.79.50.25","4","Nile perch","[""kg""]","","","","",""
"0302.79.50.76","4","Other","[""kg""]","","","","",""
"","1","Other fish, excluding edible fish offal of subheadings 0302.91 to 0302.99:","","","","","",""
"0302.81.00","2","Dogfish and other sharks","","Free","","2.2¢/kg","",""
"0302.81.00.11","3","Dogfish (Squalus spp.)","[""kg""]","","","","",""
